Nombre|Conductor|Anexo|Placa|Lat|Lon|Ubicacion|Ciudad|Poblacion Cercana|Punto de Interes|Lugar|Evento|kph|Hora Reporte|Rumbo
EZK146|||EZK146|8.635336|-72.732337|Kr3 2 61|Tibú - Norte de Santander|980 m. SE.: Tibú, Norte de Santander|59 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:53:53|339
FDU03I|||FDU03I|4.584481|-74.078712|Kr4 1b 21|Bogotá D.C. - Cundinamarca|1.5 Km. SW.: La Candelaria, Bogotá D.C., Cundinamarca|134 m. NW.: Comidas Rápidas La Pizzería|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 14:52:45|0
FFA64I|||FFA64I|4.575745|-74.212103|Cl16 4Este 44|Soacha - Cundinamarca|1.0 Km. SE.: Soacha, Cundinamarca|44 m. N.: Amaranto Real Conjunto Residencial|En: CENIT ESTACIONES-PUERTO SALGAR|GPS Adquirido|0|2026-06-08 14:37:53|0
FSO042|||FSO042|7.34869|-73.902568||Puerto Wilches - Santander|1.2 Km. N.: Puerto Wilches, Santander|22.3 Km. NW.: Ferrocarriles Nacionales De Colombia|En: ECOPETROL VRC-RIO CANTAGALLO|TDR Apagado|0|2026-06-08 14:54:36|358
FSP005|||FSP005|6.91145|-73.770184|Km 6 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|12.6 Km. S.: Los Laureles, Barrancabermeja, Santander|3.6 Km. NW.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:48:30|0
FST050|||FST050|6.977546|-73.782366|Km 11 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|5.2 Km. SE.: Los Laureles, Barrancabermeja, Santander|2.9 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:48:22|310
FST449|||FST449|6.956484|-73.763809||Barrancabermeja - Santander|8.3 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.8 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:57:21|61
GHP401|||GHP401|6.943739|-73.758387||Barrancabermeja - Santander|9.8 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.9 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2025-02-09 17:57:31|12
GHP708|||GHP708|6.936274|-73.767239|Rotonda|Barrancabermeja - Santander|10.1 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.5 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|Log Out|0|2026-05-25 05:57:21|152
GJN99I|||GJN99I|4.749853|-74.044846|Kr22 168 50|Bogotá D.C. - Cundinamarca|4.4 Km. E.: Suba, Bogotá D.C., Cundinamarca|8 m. NE.: Taller Autosmarca|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 14:30:31|165
GJV36I|||GJV36I|4.767567|-74.055442|Cl183 67 54|Bogotá D.C. - Cundinamarca|4.3 Km. NE.: Suba, Bogotá D.C., Cundinamarca|83 m. NE.: Colegio Inglaterra Real Bilingüe|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 13:58:13|0
GKP994|||GKP994|6.932612|-73.757762||Barrancabermeja - Santander|10.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.5 Km. N.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:50:52|235
GKV793|||GKV793|6.95554|-73.772134|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.0 Km. E.: Hacienda La India|En: VRC Base Gran Estación Centro|Reconexion Equipo|0|2026-06-06 09:44:24|91
GLR384|||GLR384|7.07978|-73.849396|Kr30 76a 45|Barrancabermeja - Santander|2.2 Km. N.: Barrancabermeja, Santander|374 m. NE.: Droguería Farma Lap2|En: CALIBRATION SERVICES|TDR Apagado|0|2026-06-08 14:53:36|30
GOC19G|||GOC19G|4.569225|-74.170935|Cl81Sur 44a 28|Bogotá D.C. - Cundinamarca|1.9 Km. SW.: Ciudad Bolívar, Bogotá D.C., Cundinamarca|57 m. NE.: JArdín Infantil Mis Pequeñas Travesuras|76.2 Km. W.: ENE 6234 OPEX SOT-SOC|Hibernacion|1|2026-06-08 13:12:41|322
GQV131|Ronald Alexander Rojas Rondon||GQV131|6.980189|-73.781997|Km 11 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|5.0 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.0 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Encendido|56|2026-06-05 11:19:02|163
GQV768|Jainer Rodriguez Otalora||GQV768|7.082945|-73.840554|A 111 m. de Restaurante El Punto del Sabor|Barrancabermeja - Santander|2.9 Km. NE.: Barrancabermeja, Santander|111 m. NE.: Restaurante El Punto del Sabor|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Encendido-No GSM|4|2026-06-06 12:52:32|274
GQV886|||GQV886|8.635324|-72.732375|Kr3 2 61|Tibú - Norte de Santander|979 m. SE.: Tibú, Norte de Santander|63 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:52:33|316
GQW076|||GQW076|6.955624|-73.77217|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.0 Km. E.: Hacienda La India|En: VRC Base Gran Estación Centro|TDR Apagado|0|2026-06-08 14:46:02|296
GQW223|||GQW223|7.394461|-73.498455|Kr18 13 39|Sábana de Torres - Santander|180 m. E.: Sabana de Torres, Sábana de Torres, Santander|270 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:58:34|75
GQW269|||GQW269|8.635251|-72.732401|Kr3 2 55|Tibú - Norte de Santander|984 m. SE.: Tibú, Norte de Santander|71 m. SW.: Colegio Francisco Jose de Caldas|En: PARQUEDERO TIBÚ|TDR Apagado|0|2026-06-08 14:53:56|96
GQW379|||GQW379|6.955737|-73.772177|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.0 Km. E.: Hacienda La India|En: VRC Base Gran Estación Centro|TDR Apagado|0|2026-06-08 14:45:15|348
GQW746|||GQW746|7.023236|-73.576346|A 2684 m. de Hacienda La Vizcaina|San Vicente de Chucurí - Santander|12.5 Km. S.: La Fortuna, Barrancabermeja, Santander|2.7 Km. NW.: Hacienda La Vizcaina|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:59:58|86
GSN329|||GSN329|7.077225|-73.841881|Dg60 36 196|Barrancabermeja - Santander|2.3 Km. NE.: Barrancabermeja, Santander|84 m. N.: Panadería Trigopan|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:47:40|70
GSN615|||GSN615|5.335524|-72.383101|Cl30 28c 19|Yopal - Casanare|2.4 Km. SE.: Yopal, Casanare|14 m. E.: Ambiente y Estilo Muebles|En: ECOPETROL CUPIAGUA-AGUAZUL|TDR Apagado|0|2026-06-08 14:55:03|77
GSN630|||GSN630|4.67957|-74.107995|Cl63c 76b 18|Bogotá D.C. - Cundinamarca|3.2 Km. S.: Engativá, Bogotá D.C., Cundinamarca|54 m. SW.: Cigarrería Sanborns|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:57:11|208
GSN681|||GSN681|4.932665|-74.130662|Km4 Subachoque - Tabio|Subachoque - Cundinamarca|3.2 Km. NE.: Galdamez, Subachoque, Cundinamarca|3.2 Km. W.: Termales Tabio|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-06-08 14:53:28|186
GSO603|||GSO603|7.884214|-72.461355|A 271 m. de Motel San Juanito|Villa Del Rosario - Norte de Santander|4.6 Km. N.: Villa del Rosario, Villa Del Rosario, Norte de Santander|271 m. E.: Motel San Juanito|En: ECOPETROL VRC-ORIPAYA CÚCUTA|TDR Apagado|0|2026-06-08 14:57:50|227
GSO698|Saul  Mejia Varon||GSO698|4.742928|-74.037488|Cl164 15 65|Bogotá D.C. - Cundinamarca|5.1 Km. E.: Suba, Bogotá D.C., Cundinamarca|55 m. W.: Toyo Rancing|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-06 12:58:52|0
GUR715|||GUR715|4.410535|-73.929162|PR 29 Km29 Bogota - Villavicencio|Cáqueza - Cundinamarca|2.0 Km. E.: Cáqueza, Cundinamarca|545 m. W.: Montallantas Km18|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:51:24|357
GVX979|||GVX979|4.513879|-73.353367|Kr5 16 163|Medina - Cundinamarca|723 m. NW.: Medina, Cundinamarca|3.1 Km. N.: Aeropuerto Medina|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:58:42|37
GXI17I|||GXI17I|4.593533|-74.190357|Kr4 53 171|Soacha - Cundinamarca|1.9 Km. S.: Bosa, Bogotá D.C., Cundinamarca|16 m. S.: Kraf Impresión Digital|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Encendido|49|2026-06-05 21:01:30|243
GXM49I|||GXM49I|4.625469|-74.193991|Kr88c 63Sur 35|Bogotá D.C. - Cundinamarca|2.0 Km. NW.: Bosa, Bogotá D.C., Cundinamarca|50 m. N.: Droguería Mi Farmacia Ar|80.0 Km. W.: ENE 6234 OPEX SOT-SOC|GPS Adquirido|0|2026-06-08 10:57:02|315
GYR942|||GYR942|7.39417|-73.498325|Kr18 13 77|Sábana de Torres - Santander|203 m. E.: Sabana de Torres, Sábana de Torres, Santander|301 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:48:41|37
GYU556|||GYU556|8.003657|-73.508135|Kr15 15a 10|San Martín - Cesar|515 m. E.: San Martín, Cesar|261 m. NE.: Colegio Iesmat|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 15:01:03|39
GYY463|||GYY463|7.225735|-72.898107|Km Berlín - Vetas|Tona - Santander|4.9 Km. NW.: Berlín, Tona, Santander|4.9 Km. NW.: Iglesia Berlín|131.2 Km. E.: CENIT ESTACIONES-SEBASTOPOL|TDR Encendido-No GSM|19|2026-06-08 13:21:17|56
GYY559|Sergio Andres Torres Vanegas||GYY559|7.019686|-73.919582|Via Alterna Yondó - Barranbermeja|Yondó - Antioquia|2.1 Km. NW.: Casabe, Yondó, Antioquia|631 m. NE.: Estación de Recolección y Tratamiento No.1|En: ECOPETROL VRC-RIO CASABE|TDR Encendido-No GSM|0|2026-06-08 15:00:13|0
GZH37G|||GZH37G|4.757722|-74.10951|Cl146 138a 2|Bogotá D.C. - Cundinamarca|3.4 Km. NW.: Suba, Bogotá D.C., Cundinamarca|86 m. NW.: Conjunto Residencial Reserva Fontanar|76.6 Km. NW.: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 13:24:37|0
GZN239|||GZN239|7.39421|-73.498359|Kr18 13 71|Sábana de Torres - Santander|198 m. E.: Sabana de Torres, Sábana de Torres, Santander|296 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:53:12|144
GZN373|||GZN373|8.641975|-72.704229|A 2964 m. de Aeropuerto Tibu|Tibú - Norte de Santander|3.7 Km. E.: Tibú, Norte de Santander|3.0 Km. NE.: Aeropuerto Tibu|En: ECOPETROL VRC_GCT_CATATUMBO (TIBÚ)|TDR Apagado|0|2026-06-08 14:53:37|9
GZO485|||GZO485|6.964366|-73.781857|A 2705 m. de Hacienda La India|Barrancabermeja - Santander|6.6 Km. SE.: Los Laureles, Barrancabermeja, Santander|2.7 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:54:35|87
GZO900|||GZO900|6.928707|-73.773691||Barrancabermeja - Santander|10.6 Km. S.: Los Laureles, Barrancabermeja, Santander|5.5 Km. NW.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:53:58|241
GZW188|||GZW188|7.39416|-73.498312|Kr18 13 79|Sábana de Torres - Santander|205 m. E.: Sabana de Torres, Sábana de Torres, Santander|303 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:47:14|315
HFZ172|||HFZ172|4.40574|-73.947965|Kr5 4 97|Cáqueza - Cundinamarca|142 m. W.: Cáqueza, Cundinamarca|12 m. W.: Hotel La Puerta del Llano|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:58:29|209
HVX25H|||HVX25H|4.587378|-74.168051|Cl63Sur 72 53|Bogotá D.C. - Cundinamarca|1.5 Km. NW.: Ciudad Bolívar, Bogotá D.C., Cundinamarca|46 m. N.: Panadería Johana|En: CENIT ESTACIONES-PUERTO SALGAR|Hibernacion|0|2026-06-08 14:52:58|235
IBS01G|||IBS01G|5.07047|-73.88672|Cl8s 6 103|Nemocón - Cundinamarca|773 m. NW.: Nemocón, Cundinamarca|321 m. N.: Estación de Servicio Terpel Principal Nemocón|58.4 Km. SW.: OCENSA GEOTECNIA|Hibernacion|0|2026-06-08 13:46:41|238
IDZ623|||IDZ623|4.636859|-74.114989|Kr65b 13 68|Bogotá D.C. - Cundinamarca|1.8 Km. SW.: Bogotá D.C., Cundinamarca|43 m. SW.: Texilast|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|1|2026-06-08 14:53:29|86
IEW40G|||IEW40G|4.545493|-74.093609|Cl44aSur 5Este 61|Bogotá D.C. - Cundinamarca|1.5 Km. S.: San Cristóbal, Bogotá D.C., Cundinamarca|80 m. NW.: Barrio San Jacinto|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 14:21:41|127
IHV61F|||IHV61F|4.69728|-74.097185|Kr78a 76 70|Bogotá D.C. - Cundinamarca|2.0 Km. SE.: Engativá, Bogotá D.C., Cundinamarca|34 m. S.: Miscelánea Papelería Huellas de Vida|En: ENE 6234 OPEX SOT-SOC|Hibernacion|0|2026-06-08 14:58:18|40
JKW967|||JKW967|7.018397|-73.807287|Km 4 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|306 m. W.: Los Laureles, Barrancabermeja, Santander|310 m. NE.: Motel El Jardín|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:56:23|23
JOU738|||JOU738|4.513767|-73.353308|Kr5 16 163|Medina - Cundinamarca|709 m. NW.: Medina, Cundinamarca|3.1 Km. N.: Aeropuerto Medina|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:56:46|226
JOU948|||JOU948|6.955731|-73.772161|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.0 Km. E.: Hacienda La India|En: VRC Base Gran Estación Centro|TDR Apagado|0|2026-06-08 14:59:19|205
JRN784|||JRN784|7.058675|-73.85147|Cl48 27 62|Barrancabermeja - Santander|321 m. SE.: Barrancabermeja, Santander|35 m. SW.: Taller Serviteka 28|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:52:16|204
JSL356|||JSL356|4.73067|-74.220705|Cl14 28a 1|Funza - Cundinamarca|1.8 Km. NW.: Funza, Cundinamarca|76 m. SW.: Estación de Servicio Brio Funza|81.8 Km. SE.: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-06-08 14:49:11|68
JSL414|||JSL414|4.742656|-74.037793|Cl163a 15 71|Bogotá D.C. - Cundinamarca|5.1 Km. E.: Suba, Bogotá D.C., Cundinamarca|42 m. E.: Justo y Bueno Orquideas|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:50:35|249
JTV356|||JTV356|7.348599|-73.902671||Puerto Wilches - Santander|1.1 Km. N.: Puerto Wilches, Santander|22.3 Km. NW.: Ferrocarriles Nacionales De Colombia|En: ECOPETROL VRC-RIO CANTAGALLO|TDR Apagado|0|2026-06-08 14:56:49|40
JTV613|||JTV613|7.066371|-73.855711|Cl57 21 12|Barrancabermeja - Santander|683 m. N.: Barrancabermeja, Santander|138 m. N.: Expendio Carnes D'K'Che|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:53:09|197
KMV844|||KMV844|7.010898|-73.792698|A 1336 m. de Estación de Servicio Biomax|Barrancabermeja - Santander|1.6 Km. SE.: Los Laureles, Barrancabermeja, Santander|1.3 Km. SE.: Estación de Servicio Biomax|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:55:54|138
KOK546|||KOK546|4.742678|-74.037851|Kr16a 163a 50|Bogotá D.C. - Cundinamarca|5.1 Km. E.: Suba, Bogotá D.C., Cundinamarca|36 m. E.: Justo y Bueno Orquideas|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:50:06|193
KOV207|||KOV207|6.916669|-73.767084|Km 7 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|12.1 Km. S.: Los Laureles, Barrancabermeja, Santander|4.0 Km. N.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 10:12:43|0
KOV653|||KOV653|7.373235|-73.91636|Cl1 2 27|Cantagallo - Bolívar|971 m. S.: Cantagallo, Bolívar|25.5 Km. NW.: Ferrocarriles Nacionales De Colombia|En: VRC -  Cantagallo Parqueadero|TDR Apagado|0|2026-06-08 14:51:51|120
KOX201|||KOX201|7.327726|-73.453457|A 1516 m. de Hacienda Buenos Aires|Sábana de Torres - Santander|9.1 Km. SE.: Sabana de Torres, Sábana de Torres, Santander|1.5 Km. SW.: Hacienda Buenos Aires|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:55:51|0
KOX517|||KOX517|7.393945|-73.498422|Kr18 13 101|Sábana de Torres - Santander|203 m. SE.: Sabana de Torres, Sábana de Torres, Santander|309 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:49:26|265
KOX549|||KOX549|6.997852|-73.909974|A 612 m. de Acceso Zona Industrial Ecopetrol Casabe|Yondó - Antioquia|604 m. S.: Casabe, Yondó, Antioquia|612 m. S.: Acceso Zona Industrial Ecopetrol Casabe|En: ECOPETROL VRC-RIO CASABE|TDR Apagado|0|2025-08-26 09:49:45|182
KOX551|||KOX551|7.007149|-73.913731|Cl51 56 27|Yondó - Antioquia|544 m. NW.: Casabe, Yondó, Antioquia|147 m. NW.: Estación de Servicio Terpel|En: ECOPETROL VRC-RIO CASABE|TDR Apagado|0|2026-06-08 14:47:15|246
KOX567|Yurley Estela Diaz Cortes||KOX567|6.964943|-73.775289|Km 13 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|6.8 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.4 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:49:06|273
KOX892|||KOX892|7.017498|-73.808135|Km 4 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|430 m. SW.: Los Laureles, Barrancabermeja, Santander|176 m. NE.: Motel El Jardín|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 15:01:25|0
KOY513|||KOY513|6.999788|-73.777648|Km 9 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|3.7 Km. SE.: Los Laureles, Barrancabermeja, Santander|2.6 Km. SW.: Hacienda Portugal|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:54:00|199
KOY804|||KOY804|7.079435|-73.854653|Cl76 19 12|Barrancabermeja - Santander|2.1 Km. N.: Barrancabermeja, Santander|130 m. NE.: Hospedaje Eris|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:51:20|66
KRN89G|||KRN89G|4.75185|-74.08931|Cl152b 100a 61|Bogotá D.C. - Cundinamarca|1.4 Km. NW.: Suba, Bogotá D.C., Cundinamarca|38 m. SE.: Conjunto Residencial Pinar de La Fontana|74.3 Km. NW.: ENE 6234 OPEX SOT-SOC|Hibernacion|1|2026-06-08 11:35:07|88
KSP713|||KSP713|11.133397|-72.627599||Maicao - La Guajira|4.9 Km. SW.: Albania, Maicao, La Guajira|4.7 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|Log Out|0|2026-06-08 14:59:52|76
KSP714|||KSP714|11.180982|-72.61502|Km0 Cuestecitas - Albania|Maicao - La Guajira|424 m. E.: Cuestecitas, Maicao, La Guajira|79 m. SW.: Estación de Servicio|En: ADMON_Vehiculos_Equipos Stand By|Apagado|0|2026-05-26 16:27:01|0
KSP715|Emilio Rocha Sanchez||KSP715|11.128607|-72.635302||Maicao - La Guajira|5.9 Km. SW.: Albania, Maicao, La Guajira|5.7 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|Tiempo conducción excesivo|0|2026-06-08 14:57:42|85
KSP716|||KSP716|11.128759|-72.635378||Maicao - La Guajira|5.9 Km. SW.: Albania, Maicao, La Guajira|5.7 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|TDR Apagado|0|2026-06-08 14:48:18|166
KSP718|Leonardo Favio Liñan Olmedo||KSP718|11.123394|-72.645369||Hatonuevo - La Guajira|5.4 Km. N.: Roche, Barrancas, La Guajira|6.9 Km. S.: Estación de Servicio Ayatawacoop|En: PRUEBA EARLY STAR|TDR Encendido|0|2026-06-08 14:56:32|146
KSP719|Rodolfo Carlos Vega Mejia||KSP719|11.038574|-72.696691||Barrancas - La Guajira|6.8 Km. SW.: Roche, Barrancas, La Guajira|7.0 Km. SE.: Estación de Servicio El Hato|En: ADMON_Vehiculos_Equipos Stand By|TDR Encendido|0|2026-06-08 14:57:13|301
KSP720|||KSP720|11.12661|-72.630475||Maicao - La Guajira|5.7 Km. SW.: Albania, Maicao, La Guajira|5.4 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|TDR Apagado|0|2026-06-08 14:53:48|18
